w,x,y,z,x,y,z,w,x,y,z,x,y,z,w,x,y,z,x,y,z,w,x,y,z,x,y,z,w,x,y,z,x,y,z,w,x,y,z,x,y,z
-0.017436,0.000736876,0.9998353,-0.005005123,0.5719875,181.9986,0.09443085,-0.04291691,0.00840016,0.9988741,0.01838898,357.8533,184.9041,0.8717135,0.2683123,-0.3266577,0.9061651,0.012981,348.5321,150.8221,323.3473,0.7551408,0.01135337,0.4812164,0.4450445,335.7211,53.9374,48.53368,-0.3990635,0.2970683,0.8204979,-0.281571,13.00044,237.5415,46.96631,-0.924578,0.1220183,0.3574279,0.05012567,13.00044,237.5415,46.96631
-0.017382,0.000666609,0.9998363,-0.004983806,0.5696902,181.9924,0.08630647,-0.04261713,0.008393751,0.9988882,0.01832636,357.8608,184.8698,0.871927,0.2684257,-0.3267681,0.9060928,0.01289383,348.5337,150.8075,323.3332,0.755139,0.01118863,0.4812338,0.445033,335.7052,53.93419,48.52499,-0.3991316,0.2968704,0.8205689,-0.2814764,13.00057,237.5416,46.9388,-0.9245892,0.1217885,0.3574668,0.05020338,13.00057,237.5416,46.9388
-0.01723456,0.000581358,0.9998389,-0.00501477,0.573419,181.9754,0.07651571,-0.04281305,0.0083229,0.9988794,0.0183902,357.8537,184.8923,0.8630804,0.2685129,-0.3268516,0.9060385,0.01279005,348.5388,150.7951,323.3216,0.7551505,0.0110477,0.4812517,0.4449976,335.693,53.93237,48.51429,-0.3991387,0.2967503,0.8206354,-0.2813991,13.0007,237.5363,46.92028,-0.9245539,0.1217189,0.3575688,0.05029536,13.0007,237.5363,46.92028
-0.01711653,0.000482613,0.9998406,-0.005093505,0.582643,181.9619,0.06528837,-0.0431754,0.008198027,0.9988622,0.01852645,357.8384,184.9341,0.847329,0.2685619,-0.3269347,0.9059944,0.01276113,348.5374,150.7894,323.3115,0.7551715,0.0109007,0.4812658,0.4449503,335.6811,53.93007,48.50195,-0.3990977,0.296675,0.8207382,-0.2812371,12.99343,237.5201,46.89998,-0.9245539,0.1217189,0.3575689,0.05029532,12.99343,237.5201,46.89998
-0.01701996,0.000393931,0.9998419,-0.005149839,0.5892769,181.9507,0.05518093,-0.04316823,0.008114535,0.9988625,0.01856184,357.8347,184.9334,0.8376071,0.2685565,-0.3270667,0.9059477,0.01279609,348.5299,150.7927,323.2965,0.7552052,0.01067418,0.4812443,0.4449218,335.6626,53.92,48.48945,-0.3989616,0.2966428,0.8208814,-0.2810456,12.98594,237.4911,46.88117,-0.9245578,0.1213587,0.3576805,0.05029749,12.98594,237.4911,46.88117
-0.01689638,0.000335954,0.9998437,-0.005221791,0.59764,181.9366,0.04860448,-0.04301533,0.008062556,0.9988686,0.01861504,357.829,184.916,0.8317244,0.2685574,-0.3271993,0.9058995,0.01280688,348.5246,150.7944,323.2809,0.7552302,0.01044683,0.4812144,0.4449172,335.643,53.90829,48.48011,-0.3989287,0.2966183,0.8209539,-0.2809066,12.97722,237.4778,46.86813,-0.9246331,0.1209418,0.3576279,0.05029265,12.97722,237.4778,46.86813
-0.01669845,0.000318102,0.9998469,-0.005252808,0.6012375,181.9138,0.04649999,-0.04284883,0.008052854,0.9988758,0.01861484,357.8292,184.8969,0.8309759,0.2686282,-0.3272744,0.9058524,0.01273478,348.5273,150.7848,323.2709,0.7552296,0.01027361,0.4812116,0.4449257,335.6262,53.90175,48.47403,-0.3990386,0.2964369,0.8209636,-0.280914,12.98293,237.4898,46.85023,-0.9246778,0.1207135,0.3575945,0.0502554,12.98293,237.4898,46.85023
-0.01650742,0.000292501,0.9998497,-0.00532019,0.6090153,181.892,0.04357931,-0.04262513,0.008022232,0.9988882,0.01847577,357.8455,184.8714,0.8286279,0.2687162,-0.3273273,0.9058088,0.01262191,348.5342,150.7716,323.2628,0.755222,0.01016632,0.4812204,0.444931,335.6151,53.89911,48.47003,-0.3992277,0.2962214,0.8209255,-0.2809834,12.99189,237.5149,46.83399,-0.9246846,0.1206599,0.3575944,0.05026009,12.99189,237.5149,46.83399
-0.0163947,0.00024495,0.9998509,-0.00543609,0.6223892,181.879,0.03828,-0.04251987,0.007978663,0.9988949,0.01837681,357.8571,184.8594,0.8243421,0.2687884,-0.3274043,0.9057612,0.01250936,348.541,150.7605,323.2517,0.7552092,0.01000252,0.4812054,0.4449728,335.5979,53.89062,48.46879,-0.3993374,0.2960626,0.8209218,-0.2810061,12.9976,237.5281,46.81964,-0.9246749,0.1207491,0.35759,0.05025827,12.9976,237.5281,46.81964
-0.01633817,0.000229683,0.9998515,-0.005489461,0.6285349,181.8725,0.03659548,-0.04251987,0.007978663,0.9988949,0.01837682,357.8571,184.8594,0.8243421,0.2688616,-0.3275323,0.9056937,0.01246374,348.5392,150.7521,323.2361,0.7551815,0.009752028,0.4811831,0.4450496,335.5706,53.87748,48.46849,-0.3994547,0.295877,0.8209501,-0.2809522,12.99796,237.5369,46.79695,-0.9247016,0.1206639,0.3575549,0.05022076,12.99796,237.5369,46.79695
